Company name;Sector;Country headquarters;Country of alleged abuses;Day;Month;Year;Summary;Issue;Responded;Link to company response;Link to company page
BHP Billiton;Mining;Australia;Colombia | Guatemala | Indonesia | Philippines | United Kingdom;10;Nov;2008;London Mining Network report of BHP Billiton annual meeting says company failed to respond to social & environmental concerns;Deaths | Poverty/Development/Economic & social rights: General | Environment: General | Climate change | Indigenous peoples | Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/bhp-billiton-statement-re-london-mining-network-reports;https://www.business-humanrights.org/en/bhp-billiton
BHP Billiton;Mining;Australia;;19;Dec;2007;War on Want report & responses;;Yes;https://www.business-humanrights.org/en/response-by-bhp-billiton-fanning-the-flames-war-on-want-report-alleges-uk-mining-companies-including-bhp-billiton-involved-in-human-rights-abuses-overseas;https://www.business-humanrights.org/en/bhp-billiton
BHP Billiton;Mining;Australia;Sudan;12;Dec;2007;Dream for Darfur - Company responses;Genocide | Complicity | Displacement | Security issues & conflict zones: General;No;https://www.business-humanrights.org/en/bhp-billiton-did-not-respond-to-olympic-dream-for-darfur-calls-on-olympic-corporate-sponsors-including-bhp-billiton-to-raise-sudan-concerns-with-chinese-govt;https://www.business-humanrights.org/en/bhp-billiton
BHP Billiton;Mining;Australia;Suriname;10;Jan;2007;Tebtebba Foundation & Forest Peoples Programme submission to UN Special Representative, on indigenous peoples’ rights & extractive industries - refers to Alcoa, BHP Billiton;Indigenous peoples;Yes;https://www.business-humanrights.org/en/response-by-bhp-billiton-indigenous-peoples-ngos’-submission-to-un-special-representative-raises-social-environmental-concerns-about-bakhuys-project;https://www.business-humanrights.org/en/bhp-billiton
BHP Billiton;Mining;Australia;Botswana;30;Mar;2005;Botswana: Survival International warns BHP Billiton's exploration of Kalahari lacks Bushmen's consent, undermines their rights to ancestral land;Indigenous peoples | Access to information | Cultural issues | Education | Free, prior & informed consent;Yes;https://www.business-humanrights.org/en/bhp-billiton-statement-in-response-to-survival-international-news-release-concerning-botswana;https://www.business-humanrights.org/en/bhp-billiton
BHP Billiton;Mining;Australia;Peru;01;Mar;2005;Peru: Increased mining is harming local communities, says Christian Aid report;Environment: General | Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/company-response-statement-by-paul-warner-manager-community-relations-and-institutional-affairs-bhp-billiton-base-metals;https://www.business-humanrights.org/en/bhp-billiton
BHS;Clothing & textile | Department stores;United Kingdom;Turkey;29;Jan;2016;Responses by garment brands to our questionnaire on the treatment of Syrian refugees in Turkish supplier factories;"Migrant & immigrant workers | Labour: General | Living wage | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/bhs-response;https://www.business-humanrights.org/en/bhs
Big Tent Communications;Public relations;United Kingdom;Bahrain;12;Dec;2012;"Bahrain Watch: ""PR Watch"", company responses and non-responses";;Yes;https://www.business-humanrights.org/en/response-by-big-tent-communications-pr-watch-initiative-raises-concerns-about-pr-firms-work-in-connection-with-bahrain-govt-given-the-govts-human-rights-record;https://www.business-humanrights.org/en/big-tent-communications
Bionexx;Agriculture & livestock;Madagascar;Madagascar;03;Oct;2012;Madagascar: Des milliers de familles paysannes ont été expulsées de leurs terres au profit de Bionexx selon le Collectif pour la défense des terres malgaches (TANY);;Yes;https://www.business-humanrights.org/en/response-by-bionexx-bionexx-re-displacement-of-peasant-families-in-madagascar;https://www.business-humanrights.org/en/bionexx
Bionor (part of CIE Automotive);Bioenergy;Spain;Brazil;15;Jan;2014;Informe de Intermón Oxfam da claves para que las empresas españolas en América Latina y otras regiones del mundo respeten las normas sobre empresas y derechos humanos;Labour: General;No;https://www.business-humanrights.org/en/bionor-part-of-cie-automotive-did-not-respond-to-intermón-oxfam-report-provides-key-points-for-spanish-companies-operating-abroad-to-respect-human-rights-norms-alleges-specifc;https://www.business-humanrights.org/en/bionor-part-of-cie-automotive
Bionor (part of CIE Automotive);Bioenergy;Spain;;15;Jan;2014;Informe de Intermón Oxfam da claves para que las empresas españolas en América Latina y otras regiones del mundo respeten las normas sobre empresas y derechos humanos;;No;https://www.business-humanrights.org/en/bionor-part-of-cie-automotive-did-not-respond-to-intermón-oxfam-report-provides-key-points-for-spanish-companies-operating-abroad-to-respect-human-rights-norms-alleges;https://www.business-humanrights.org/en/bionor-part-of-cie-automotive
Black Creek Group;Property development;USA;Mexico;30;May;2017;"México: Detienen a defensor de pescadores que se oponen a complejo turístico Todos los Santos; familiares y ciudadanía responsabilizan a empresa y autoridades";Arbitrary detention;No;https://www.business-humanrights.org/es/black-creek-no-respondió;https://www.business-humanrights.org/en/black-creek-group
BlackBerry;Technology, telecom & electronics;Canada;USA;21;Nov;2012;Company responses re lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;"Security issues & conflict zones: General | Supply chain/""Fair trade""";No;https://www.business-humanrights.org/en/blackberry-did-not-respond-to-global-witness-calls-on-electronics-companies-to-issue-public-statements-outlining-their-position-on-lawsuit-filed-by-business-associations-against;https://www.business-humanrights.org/en/blackberry
Blackfire Exploration;Metals & steel;Canada;Mexico;15;Sep;2010;Ethics tribunal on cross-border Latin American mining projects to convene, 30 Sep -- allegations of abuses at Blackfire Exploration Chiapas mine to be among cases presented;Beatings & violence | Intimidation & threats | Killings | Environment: General | Indigenous peoples | Access to water | Protests | Land rights;Yes;https://www.business-humanrights.org/en/response-by-blackfire-exploration-canadian-ngo-delegation-that-visited-area-of-blackfire-mine-in-chiapas-mexico-found-a-community-devastated-by-intimidation-violence-bad-mining;https://www.business-humanrights.org/en/blackfire-exploration
Blackfire Exploration;Metals & steel;Canada;Mexico;13;Sep;2010;Ethics tribunal on cross-border Latin American mining projects to convene, 30 Sep -- allegations of abuses at Blackfire Exploration Chiapas mine to be among cases presented;Beatings & violence | Intimidation & threats | Killings | Environment: General | Indigenous peoples | Access to water | Protests | Land rights;Yes;https://www.business-humanrights.org/en/response-of-blackfire-exploration-to-allegations-of-human-rights-abuses-in-connection-with-its-mine-in-chiapas-mexico;https://www.business-humanrights.org/en/blackfire-exploration
BlackRock;Auditing, consulting & accounting;USA;USA;10;Jul;2018;USA: Govt. contractors accused of profiting from separation & detention of migrant & asylum seeking families;Arbitrary detention;Yes;https://www.business-humanrights.org/en/blackrock-response;https://www.business-humanrights.org/en/blackrock
BlackRock;Auditing, consulting & accounting;USA;India;07;Aug;2013;The Price of Steel: Human Rights and Forced Evictions in the POSCO-India Project - and company responses;;Yes;https://www.business-humanrights.org/en/response-by-blackrock-the-price-of-steel-human-rights-and-forced-evictions-in-the-posco-india-project;https://www.business-humanrights.org/en/blackrock
BlackRock;Auditing, consulting & accounting;USA;India;16;Apr;2013;India: Amid resistance from communities, POSCO offers to surrender land acquired for $12-billion steel project;Land rights;No;https://www.business-humanrights.org/en/blackrock-did-not-respond-to-civil-society-groups-write-to-posco-investors-raising-concerns-over-steel-plant-project-in-odisha-india-including-displacement-violence-against;https://www.business-humanrights.org/en/blackrock
Blackstone;Finance & banking;USA;Mexico;02;Aug;2017;Mexico: Govt. allegedly uses NSO Group's anti-terrorist software to spy on journalists, activists and human rights defenders;Privacy;No;https://www.business-humanrights.org/en/blackstone-group-did-not-respond;https://www.business-humanrights.org/en/blackstone
Blackwater;Security companies;USA;;06;Feb;2008;Human Rights First, “Private Security Contractors at War: Ending the Culture of Impunity”: company responses & non-responses, Jan 2008;;Yes;https://www.business-humanrights.org/en/response-by-blackwater-private-security-contractors-at-war-ending-the-culture-of-impunity-report-by-human-rights-first;https://www.business-humanrights.org/en/blackwater
Blue Coat Systems;Security companies;USA;Iran;11;Jun;2013;Blue Coat technology allegedly being used for censorship efforts in Syria, Iran;Denial of freedom of expression | Intimidation & threats | Access to information;Yes;https://www.business-humanrights.org/en/blue-coat-statement-re-allegations-of-involvement-of-its-products-in-internet-censorship-in-syria-and-iran;https://www.business-humanrights.org/en/blue-coat-systems
Blue Coat Systems;Security companies;USA;Middle East & No. Africa: General;07;Dec;2011;;;Yes;https://www.business-humanrights.org/en/response-by-blue-coat-systems-human-rights-first-says-companies-providing-surveillance-technology-to-oppressive-regimes-in-the-middle-east-contribute-to-human-rights-abuses;https://www.business-humanrights.org/en/blue-coat-systems
Blue Mountain;Security companies;United Kingdom;Libya;06;Mar;2013;Blue Mountain Group security guards on duty at US consulate in Libya during Sep 2012 attack allegedly poorly trained & screened;Killings | Labour: General | Security issues & conflict zones: General;No;https://www.business-humanrights.org/en/blue-mountain-did-not-respond-to-blue-mountain-group-security-guards-on-duty-at-us-consulate-in-libya-during-sep-2012-attack-allegedly-poorly-trained-screened;https://www.business-humanrights.org/en/blue-mountain
Bluhmod;Clothing & textile;Germany;Bangladesh;19;Oct;2005;Bangladesh: Clean Clothes Campaign 6-month update on Spectrum-Shahriyar factory collapse says sufficient emergency relief provided but inadequate compensation;"Deaths | Injuries | Health: General (including workplace health & safety) | Labour: General | Supply chain/""Fair trade""";No;https://www.business-humanrights.org/en/bluhmod-did-not-respond-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse-in-which-64-workers-died-april-05-lists-companies-allegedly-supplying-from-the;https://www.business-humanrights.org/en/bluhmod
BMW;Automobile & other motor vehicles;Germany;South Africa | Germany;23;May;2018;Südafrika: Menschenrechtliche Verantwortung dt. Unternehmen in der Platinlieferkette;Displacement | Health: General (including workplace health & safety) | Access to water | Housing;Yes;https://www.business-humanrights.org/de/antwort-von-bmw;https://www.business-humanrights.org/en/bmw
BMW;Automobile & other motor vehicles;Germany;Germany;28;Sep;2015;How are companies responding to the refugee crisis in Europe?;Migrant & immigrant workers;Yes;https://www.business-humanrights.org/en/bmw-response;https://www.business-humanrights.org/en/bmw
BMW;Automobile & other motor vehicles;Germany;Germany;28;Sep;2015;Europa: Unternehmen sprechen sich für Integration von Flüchtlingen aus;Migrant & immigrant workers;Yes;https://www.business-humanrights.org/de/antwort-bmw;https://www.business-humanrights.org/en/bmw
BNDES;Finance & banking;Brazil;Argentina | Bolivia | Brazil | Ecuador | Peru;09;Sep;2014;Brasil: Relatórios de ONGs questionam modo de financiamento do BNDES a empresas com relação a direitos humanos;Displacement | Rape & sexual abuse | Poverty/Development/Economic & social rights: General | Indigenous peoples | Project financing/loans | Child labour | Forced labour & modern slavery;Yes;https://www.business-humanrights.org/pt/resposta-do-bndes-acerca-do-relatório-da-conectas;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Argentina | Bolivia | Brazil | Ecuador | Peru;09;Sep;2014;Brasil: Relatórios de ONGs questionam modo de financiamento do BNDES a empresas com relação a direitos humanos;Displacement | Rape & sexual abuse | Poverty/Development/Economic & social rights: General | Indigenous peoples | Project financing/loans | Child labour | Forced labour & modern slavery;Yes;https://www.business-humanrights.org/en/bndes-response-to-conectas-report;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Argentina | Bolivia | Brazil | Ecuador | Peru;08;Sep;2014;Brasil: Relatórios de ONGs questionam modo de financiamento do BNDES a empresas com relação a direitos humanos;Displacement | Rape & sexual abuse | Poverty/Development/Economic & social rights: General | Indigenous peoples | Project financing/loans | Child labour | Forced labour & modern slavery;Yes;https://www.business-humanrights.org/en/bndes-response-to-ngos-report;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Argentina | Bolivia | Brazil | Ecuador | Peru;08;Sep;2014;Brasil: Relatórios de ONGs questionam modo de financiamento do BNDES a empresas com relação a direitos humanos;Displacement | Rape & sexual abuse | Poverty/Development/Economic & social rights: General | Indigenous peoples | Project financing/loans | Child labour | Forced labour & modern slavery;Yes;https://www.business-humanrights.org/pt/resposta-do-bndes-acerca-do-relatório-de-ongs;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Brazil;08;Jan;2014;Brazil: Panel discussed role of BNDES in light of the UN Guiding Principles during 2nd UN Forum on Business and Human Rights;Access to information;Yes;https://www.business-humanrights.org/pt/doc-resposta-do-bndes;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Brazil;08;Jan;2014;Brazil: Panel discussed role of BNDES in light of the UN Guiding Principles during 2nd UN Forum on Business and Human Rights;General business & human rights;Yes;https://www.business-humanrights.org/en/response-by-bndes-panel-discussed-role-of-bndes-in-light-of-the-un-guiding-principles-during-2nd-un-forum-on-business-and-human-rights;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Brazil;30;Oct;2013;"Brazil: Report on human rights abuses in construction & renovation projects related to 2014 FIFA World Cup & 2016 Olympics; companies respond to allegations";Environment: General | Labour: General | Access to information | Housing;Yes;https://www.business-humanrights.org/en/response-by-bndes-report-on-human-rights-abuses-in-construction-renovation-projects-related-to-2014-fifa-world-cup-2016-olympics;https://www.business-humanrights.org/en/bndes
BNDES;Finance & banking;Brazil;Brazil;30;Oct;2013;"Brasil: Relatório sobre abusos de direitos humanos em projetos de construção & reforma relacionados com a Copa do Mundo da FIFA 2014 e Jogos Olímpicos de 2016; empresas respondem sobre as alegações";Environment: General | Labour: General | Access to information | Housing;Yes;https://www.business-humanrights.org/pt/resposta-do-bndes-relatório-sobre-abusos-de-direitos-humanos-em-projetos-de-construção-e-reforma-relacionados-com-a-copa-do-mundo-da-fifa-2014-e-jogos-olímpicos-de-2016;https://www.business-humanrights.org/en/bndes
BNP Paribas;Finance & banking;France;USA;10;Jul;2018;USA: Govt. contractors accused of profiting from separation & detention of migrant & asylum seeking families;Arbitrary detention;Yes;https://www.business-humanrights.org/en/bnp-paribas-response;https://www.business-humanrights.org/en/bnp-paribas
BNP Paribas;Finance & banking;France;Colombia;16;Jan;2018;BankTrack paper explores responsibilities of banks allegedly contributing to human rights violations through finance;Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/bnp-paribas-response-re-drummond-paramilitary-violence-in-colombia;https://www.business-humanrights.org/en/bnp-paribas
BNP Paribas;Finance & banking;France;;03;Oct;2012;Tax Justice Network reports 2012 - responses & non-responses by banks;Tax avoidance;Yes;https://www.business-humanrights.org/en/response-by-bnp-paribas-tax-justice-network-alleges-16-banks-aid-the-rich-to-avoid-taxes-leading-to-the-flow-of-capital-out-of-developing-countries;https://www.business-humanrights.org/en/bnp-paribas
BNP Paribas;Finance & banking;France;Europe & Central Asia: General;08;Feb;2012;Friends of the Earth report alleging European banks fuel food price volatility & hunger;Right to food;Yes;https://www.business-humanrights.org/en/response-by-bnp-paribas-european-financial-institutions-fuel-food-price-volatility-hunger-says-new-report;https://www.business-humanrights.org/en/bnp-paribas
BNP Paribas;Finance & banking;France;France;23;Apr;2008;Antipersonnel landmines and cluster bombs - Amnesty International denounces the investment policies of France’s leading banking institutions;Socially-responsible investing & shareholder activism | Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/response-by-bnp-paribas-amnesty-intl-calls-on-french-banks-to-strengthen-policies-on-anti-personnel-mines-cluster-munitions;https://www.business-humanrights.org/en/bnp-paribas
BNP Paribas;Finance & banking;France;France;21;Apr;2008;Antipersonnel landmines and cluster bombs - Amnesty International denounces the investment policies of France’s leading banking institutions;Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/doc-bnp-paribas-response-to-amnesty-international-france-statements-on-direct-indirect-investments-in-anti-personnel-mines-cluster-munitions;https://www.business-humanrights.org/en/bnp-paribas
BNY Mellon;Finance & banking;USA;India;07;Aug;2013;The Price of Steel: Human Rights and Forced Evictions in the POSCO-India Project - and company responses;;Yes;https://www.business-humanrights.org/en/response-by-bny-mellon-the-price-of-steel-human-rights-and-forced-evictions-in-the-posco-india-project;https://www.business-humanrights.org/en/bny-mellon
BNY Mellon;Finance & banking;USA;India;10;Apr;2013;Letter from civil society groups to POSCO investors regarding steel project in Odisha, India - and company responses;;Yes;https://www.business-humanrights.org/en/response-by-bny-mellon-civil-society-groups-write-to-posco-investors-raising-concerns-over-poscos-steel-plant-project-in-odisha-india-displacement-violence-against-protestors-other;https://www.business-humanrights.org/en/bny-mellon
Boehringer Ingelheim;Pharmaceutical;Germany;South Africa;19;Feb;2014;Allegations of pharmaceutical group's planned opposition to So. Africa reforms to increase access to medicines;Access to medicines;Yes;https://www.business-humanrights.org/en/response-by-boehringer-ingelheim-allegations-of-pharmaceutical-groups-planned-opposition-to-so-africa-reforms-to-increase-access-to-medicines;https://www.business-humanrights.org/en/boehringer-ingelheim
Boehringer Ingelheim;Pharmaceutical;Germany;Germany;06;Sep;2006;ICCR AIDS report & responses;Health: General (including workplace health & safety) | HIV/AIDS;Yes;https://www.business-humanrights.org/en/response-by-boehringer-ingelheim-interfaith-center-on-corporate-responsibility-rates-15-pharmaceutical-firms-on-hivaids-including-boehringer-ingelheim-finds-none-has-comprehensive;https://www.business-humanrights.org/en/boehringer-ingelheim
Boeing;Aircraft/Airline;USA;USA;19;Dec;2012;Company responses re lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;"Security issues & conflict zones: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-boeing-global-witness-issues-new-call-for-more-companies-to-clarify-positions-on-conflict-minerals-lawsuit;https://www.business-humanrights.org/en/boeing
Boeing;Aircraft/Airline;USA;USA;05;Dec;2012;Company responses re lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;"Security issues & conflict zones: General | Supply chain/""Fair trade""";No;https://www.business-humanrights.org/en/boeing-did-not-respond-to-global-witness-calls-on-electronics-companies-to-issue-public-statements-outlining-their-position-on-lawsuit-filed-by-business-associations-against-rules;https://www.business-humanrights.org/en/boeing
Bolloré;Diversified/Conglomerates;France;Sierra Leone;22;Feb;2016;"Sierra Leone: NGOs denounce imprisonment of community members opposing Socfin plantations; includes company response ";Arbitrary detention;Yes;https://www.business-humanrights.org/en/bolloré-response;https://www.business-humanrights.org/en/bolloré
Bolloré;Diversified/Conglomerates;France;Sierra Leone | Cambodia | France;22;Feb;2016;"Sierra Leone : Des ONG dénoncent l’emprisonnement d’opposants à l’exploitation de plantations de Socfin ; Bolloré et Socfin répondent";Land rights;Yes;https://www.business-humanrights.org/fr/réponse-de-bolloré-0;https://www.business-humanrights.org/en/bolloré
Bolloré;Diversified/Conglomerates;France;Cameroon | Côte d'Ivoire | Liberia | Cambodia;23;Apr;2015;"Des villageois dénoncent l’accaparement de terres par Bolloré et Socfin ; les entreprises répondent";Beatings & violence | Poverty/Development/Economic & social rights: General | Protests | Land rights;Yes;https://www.business-humanrights.org/fr/réponse-de-bolloré;https://www.business-humanrights.org/en/bolloré
Bon-Ton Stores;Department stores;USA;Cambodia;01;May;2013;NGOs allege violence & illegal dismissal of unionised workers at E-Garment factory, owned by Yee Tung and supplying major intl. brands.;"Arbitrary detention | Beatings & violence | Labour: General | Protests | Supply chain/""Fair trade""";No;https://www.business-humanrights.org/en/bon-ton-stores-did-not-respond-to-ngos-allege-violence-illegal-dismissal-of-unionised-workers-at-e-garment-factory-owned-by-yee-tung-and-supplying-major-intl-brands;https://www.business-humanrights.org/en/bon-ton-stores
Bonatti;Construction | Oil, gas & coal | Engineering | Energy;Italy;Mexico;09;Oct;2017;México: Represa para el Proyecto Integral Morelos dejarían sin agua a campesinos, según académico;Indigenous peoples | Land rights;No;https://www.business-humanrights.org/es/bonatti-no-respondió;https://www.business-humanrights.org/en/bonatti
Bonatti;Construction | Oil, gas & coal | Engineering | Energy;Italy;;10;Feb;2015;Land rights defenders increasingly the target of repressive measures, says the Observatory;Arbitrary detention | Death threats | Intimidation & threats | Killings | Indigenous peoples | Free, prior & informed consent | Land rights;No;https://www.business-humanrights.org/en/bonatti-did-not-respond;https://www.business-humanrights.org/en/bonatti
Bonmarché (part of Sun Capital Partners);Clothing & textile;United Kingdom;Bangladesh;30;Apr;2013;Rana Plaza building collapse, April 2013;;Yes;https://www.business-humanrights.org/en/response-by-bonmarché-part-of-sun-capital-partners-rana-plaza-garment-factory-collapse-in-bangladesh-over-1100-dead;https://www.business-humanrights.org/en/bonmarché-part-of-sun-capital-partners
Boodle & Dunthorne;Jewellery;United Kingdom;Central African Republic | Ghana | Tanzania | Philippines;23;Feb;2018;"Report by Human Rights Watch alleges labour rights abuses & child labour in gold & diamond supply chains of global jewellery brands; incl. co responses";Labour: General;Yes;https://www.business-humanrights.org/en/response-by-boodle-dunthorne;https://www.business-humanrights.org/en/boodle-dunthorne
Bosch;Electrical appliance | Auto parts;Germany;Germany;28;Sep;2015;How are companies responding to the refugee crisis in Europe?;Migrant & immigrant workers;Yes;https://www.business-humanrights.org/en/bosch-response;https://www.business-humanrights.org/en/bosch
Boskalis;Diversified/Conglomerates | Construction | Oil, gas & coal | Engineering | Ports;Netherlands;Egypt;13;Apr;2016;"Egypt: ""Dredging in the Dark"" report calls for human rights due diligence from firms that were involved in Suez Canal project - companies respond";Displacement | Impact assessment;Yes;https://www.business-humanrights.org/en/boskalis-and-van-oord-response-to-dredging-in-the-dark;https://www.business-humanrights.org/en/boskalis
Boskalis;Diversified/Conglomerates | Engineering;Netherlands;Egypt;10;Sep;2015;Suez Canal development in Egypt - reports of worker injuries and deaths;Deaths | Injuries | Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/challenge-consortium-response-to-reports-of-worker-injuries-deaths-in-suez-canal-construction-0;https://www.business-humanrights.org/en/boskalis
BP;Oil, gas & coal;United Kingdom;Azerbaijan;10;Apr;2018;"Azerbaijan: Communities located near gas & oil fields suffer from air & water pollution, other human rights abuses, says NGO report; includes company comments";Environment: General | Health: General (including workplace health & safety) | Access to water;Yes;https://www.business-humanrights.org/en/bp-did-not-respond-0;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Azerbaijan;12;Mar;2018;"Azerbaijan: Abuses by oil companies include workplace discrimination, illegal termination of contracts, health & safety violations, sexual harassment, environmental pollution, say NGO reports; includes company comments";Environment: General | Labour: General;Yes;https://www.business-humanrights.org/en/bp-did-not-respond;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;United Kingdom;18;Sep;2017;Union of Concerned Scientists-led study quantifies impacts of emissions of major fossil fuel producers on global temperature & sea level rise;Climate change;Yes;https://www.business-humanrights.org/en/bp-response-3;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Azerbaijan;12;Jun;2017;"Azerbaijan: Oil workers complain about labour rights abuses at BP, including discrimination, says NGO; includes firm’s comments";Labour: General;Yes;https://www.business-humanrights.org/en/bp-response-2;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;USA;24;Feb;2017;Publish What You Pay urges oil, gas & mining firms to support US law on disclosure of payments to govts. - statements of support by 13 firms;Disclosure/use of payments to govts.;No;https://www.business-humanrights.org/en/bp-non-response;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Azerbaijan;14;Feb;2017;"Azerbaijan: Oil workers’ rights abuses include discrimination, lack of union rights, health & safety violations, says NGO report; includes firms comments";Deaths | Injuries | Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/bp-response-1;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;;17;Oct;2016;"Union of Concerned Scientists score 8 fossil fuel companies on their actions to limit climate change; company responses provided";Climate change;Yes;https://www.business-humanrights.org/en/response-by-bp-0;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Philippines;11;Oct;2016;Fossil fuel firms respond to petition before Philippines Human Rights Commission on human rights & climate impacts;Climate change;Yes;https://www.business-humanrights.org/en/response-by-bp;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;USA;07;Oct;2016;USA: Political funding committee controlled by BP supports candidates who undermine human rights, deny climate science, says Chris Avery;Gender discrimination | Racial/ethnic/caste/origin discrimination | Climate change | Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/bp-response-0;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Azerbaijan;02;Feb;2016;"Azerbaijan: Oil workers’ rights abuses include non-payment of wages, discrimination, lack of union rights, health & safety violations, says NGO report; includes firms comments";Environment: General | Labour: General;Yes;https://www.business-humanrights.org/en/bp-response;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;;27;Jul;2015;"Union of Concerned Scientists report says fossil fuel industry ""knowingly worked to deceive public about realities & risks of climate change""";;Yes;https://www.business-humanrights.org/en/bp’s-response;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Azerbaijan;19;Sep;2014;Civil society organizations urge sponsors of Baku 2015 to consider human rights impacts;General business & human rights | Denial of freedom of expression;Yes;https://www.business-humanrights.org/en/bp-response-re-sponsorship-of-baku-2015-european-games-azerbaijan;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;China;11;Mar;2014;中国：广东大鹏高压天然气管经过深圳闹市被指存在安全风险;Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/zh-hans/bp公司回应广东大鹏高压天然气管被指存在安全风险;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;China;10;Mar;2014;Safety concerns with Dapeng LNG natural gas pipeline, running underground in downtown Shenzhen (2014);Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/response-by-bp-safety-concerns-with-dapeng-lng-natural-gas-pipeline-running-underground-in-downtown-shenzhen;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;China;10;Mar;2014;中國：廣東大鵬高壓天然氣管經過深圳鬧市被指存在安全風險;Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/zh-hant/bp公司回應廣東大鵬高壓天然氣管被指存在安全風險;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Nigeria | Uganda;27;Feb;2013;Company responses to Platform report: “Making a Killing: Oil Companies, Tax Avoidance and Subsidies” – Feb 2013;Poverty/Development/Economic & social rights: General | Tax avoidance;Yes;https://www.business-humanrights.org/en/response-by-bp-platform-report-“making-a-killing-oil-companies-tax-avoidance-and-subsidies”;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Azerbaijan;07;Nov;2012;Azerbaijan: Report reveals negative environmental & health impacts of petroleum industry;Environment: General | Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/bp-response-regarding-environmental-health-concerns-raised-in-crude-accountability’s-report;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;;22;Feb;2012;NGO concerns over oil industry lobbying against Section 1504 of US Dodd-Frank Act on disclosure of payments to governments.;;Yes;https://www.business-humanrights.org/en/response-by-bp-ngo-concerns-over-oil-industry-lobbying-against-section-1504-of-us-dodd-frank-act-on-disclosure-of-payments-to-governments;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;USA;21;Apr;2011;USA: One year after Deepwater Horizon explosion, experts say impact of oil spill on health & environment is “catastrophic”, will last decades;Deaths | Health: General (including workplace health & safety) | Illness;Yes;https://www.business-humanrights.org/en/bp-response-to-al-jazeera-article;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;Turkey;14;Mar;2011;OECD Guidelines UK National Contact Point finds that BP failed to address allegations of human rights abuses along BTC pipeline;Environment: General | Labour: General;Yes;https://www.business-humanrights.org/en/bp-response-re-alleged-abuse-along-the-btc-pipeline;https://www.business-humanrights.org/en/bp
BP;Oil, gas & coal;United Kingdom;USA;19;Jan;2011;"""Public Eye Awards"" for ""worst corporate offenses against human rights & environment"" - AngloGold Ashanti, Axpo, BP, Foxconn, Neste Oil, Philip Morris nominated";;Yes;https://www.business-humanrights.org/en/response-by-bp-bp-nominated-for-“public-eye-on-davos-award-in-“worst-corporate-offenses-against-human-rights-and-the-environment”-category;https://www.business-humanrights.org/en/bp
