album,artist,country,label,year
I Don't Know About This Sean Guy,Jxnblk,US,Grafq Records,2006.0
Vasco EP Part 1,Ricardo Villalobos,Germany,Perlon,2008.0
Impulse Control 1,Decimal,,Enemy Records (2),2008.0
Early Worx,Anonymous (6),Germany,Push (3),1996.0
The Meaning,Melchior Productions,Germany,Playhouse,2004.0
Los Siete Castigos,Dandy Jack And The Junction SM,Germany,Perlon,2005.0
Reduxtion EP,Acid Circus,US,Droid Recordings,2008.0
Enemy Love,Louderbach,UK,Underl_ne,2006.0
Soylent Green,Soylent Green,Germany,Playhouse,1996.0
Autobahn,Niederflur,Canada,M_nus,2001.0
Tokyo Shanghai / Quivery,Shlomi Aber,US,Ovum Recordings,2008.0
Darkbeat,Alexander Obukhov,Russia,Hot Tape Studio,2001.0
Minisketch 3,Dokser,Italy,MiniSketch,2006.0
Steel EP,Decimal,Greece,Material Series,2008.0
Transphormer (Rmx),Alter Ego,Germany,Klang Elektronik,2006.0
Metal EP,Detroit Diesel,Germany,i220,1996.0
531 KHz,Voices From The Lake,Italy,Concrete Records (4),2013.0
Digitalis Plumbicon,Monolake,Germany,Monolake / Imbalance Computer Music,2005.0
EP 1,Eal,France,Interzone Records (2),2000.0
"It's Not For You, As It Is For Us",Bergheim 34,Germany,Klang Elektronik,2003.0
Selected Moods Techno Vol. 2,Various,Germany,High Pro-File Recordings,2016.0
Apartment Zero,Robert Hood,France,Logistic Records,2000.0
Tales Of Dub & Techno Vol. 4,Various,Germany,Complex Textures,2014.0
Spinning Detroit Vol. 2 - Best Of Detroit Techno,Various,Germany,High Pro-File Recordings,2016.0
Destination Detroit Vol. 2 - Selection Of Techno,Various,Germany,High Pro-File Recordings,2016.0
Multipolster,Martin Moeller,Germany,Aspik Musik,2007.0
Dots And Pearls 2,Various,Germany,Cocoon Recordings,2012.0
The Wave,Belgica Wave Party,Belgium,Bonzai Records,1993.0
Compiler Of Compel Forces,Einklang,Germany,Shot Records (2),2000.0
Plumbicon Versions I,Monolake,Germany,Monolake / Imbalance Computer Music,2005.0
Apu Shop,Gianluca Luisi,Netherlands,Plastic Rules Music,2009.0
Ssg Special - Ancient Methods Presents 'Some Strings Attached' Mix,Ancient Methods,Japan,mnml ssgs,2011.0
Infrared / Lowrider,Paul Brtschitsch,Belgium,Music Man Records,2006.0
House 75,Hisashi Ito,Germany,Below,2001.0
Anne Will - The Remixes - Pt.II,Move D,Germany,liebe*detail spezial,2007.0
A Tribute To Klang Club Vol. 2,Various,Italy,Unclear,2016.0
Eetteri EP,Ø,Finland,Sähkö Recordings,2005.0
002,Stephan Hinz,Greece,Material Limited,2009.0
Lights,Space DJz,UK,Soma Quality Recordings,1996.0
Art Of M,Matt Star,Germany,Weave Music,2006.0
Bones,A Mountain Of One,UK,AMO,2009.0
H0,Steve Bug,Germany,Raw Elements,1995.0
Vergissmeinnicht / Solaris,Christian Kaltenhofer,Germany,liebe*detail,2005.0
The Make Up The Break Up,Bruno Pronsato,Germany,Thesongsays,2009.0
Systematic Colours - Volume Two,Marc Romboy,Germany,Systematic (3),2009.0
The Midas Touch,Various,Germany,Konvex | Konkav,2002.0
Credit Card Receipt,Lopazz,Germany,Get Physical Music,2009.0
Goa Trance The Best Of...,Various,Russia,Монолит,2004.0
Lee Monade / Prélude,<Sie>,Belgium,White Noise (4),2009.0
No Sleep (Part One),Radio Slave,UK,REKIDS,2006.0
Late Night Toolz Pt. I Of III,Frank Martiniq,Germany,Boxer Recordings,2004.0
Electronic Lesson Part 2,GF,Belgium,KK Traxx,1998.0
The Leisure Hive LP,Davros (3),US,Fragmented Audio,2007.0
Afterhour Techno Stories Volume Seven,Various,Germany,Wasabi Recordings,2013.0
Songs From The Beehive,Move D & Benjamin Brunn,Germany,Smallville Records,2008.0
Fuse Presents Shinedoe,Shinedoe,Belgium,Music Man Records,2007.0
Fundamental,Al-Faris & The Pagemaster,Germany,Jerk Records,
Kalte Tage In Warmen Farben,Martin Donath,Switzerland,Realaudio,2004.0
Deep Dark Mood,The Badgers (2),UK,Creepy Finger Records,2012.0
History Elevate 1,Kevin Saunderson,US,Planet E,2007.0
Soul Clap,DJ Tasaka,Japan,Ki/oon,2009.0
DCT 01,*,Czech Republic,Dual Cyklo Trial,2000.0
Overcome,Soul Capsule,UK,Trelik,1999.0
Antidot (Selected Works 2007-2017),Porch Nap,Russia,Fulldozer Records,2018.0
Ra-Moon-Koom,Joe Casagrande,Italy,Elettronica Romana,2005.0
Collapse,Drew McDowall,US,Dais Records,2015.0
Fholo EP,Anders Ilar,Italy,Defrag Sound Processing,2005.0
Abstract Symbols Of Decadence,*,US,Tektite Recordings,1999.0
Focus On Guido Schneider,Guido Schneider,Germany,Poker Flat Recordings,2006.0
Shinogi / The Third Remixes,Agaric (2),Netherlands,Syndikaat Records,2007.0
Victimas EP,Sr. Replicante,Spain,11:00 a.m.,2008.0
"<a class=""needs_changes"" href=""/master/1197555-The-Bomb-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Netherlands,Analytic Trail,2008.0
Tronic Jazz The Berlin Sessions,A Guy Called Gerald,Germany,Laboratory Instinct,2010.0
Playmobil 08 EP,*,Netherlands,Playmobil Series,2009.0
Mallory E.P.,Burrini & Pompili,Italy,Mallory Records,2008.0
Number Nine / Number Ten,Ink And Needle,Denmark,Tattoorec.com,2008.0
"<a class=""needs_changes"" href=""/master/966828-Deadpan-Escapement/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",US,Belief Systems,2000.0
A Can Of Worms,Various,UK,The Tapeworm,2017.0
"Berlin - The Sex, The City, The Music",Various,Australia,Petrol (2),2003.0
DJ Face Off,Cosmic Fury,UK,DJ Magazine,2006.0
Tendra EP,Submania & Ekmoah,Germany,Background,2001.0
Polar Pattern,*,Iceland,Thule Records,1997.0
Aitiai,Alex Cortex,Germany,Source Records (2),1997.0
Vampirella (DBX Remixes),Subvoice,Japan,Subvoice Electronic Music,1996.0
DJ-Kicks,Claude Young,Germany,Studio !K7,1996.0
Flower Power,Ibiza Brothers,Germany,Ilamives Records,2012.0
Minimal Explosion,Loco Dice,UK,Mixmag,2005.0
No More Plastic,Various,Netherlands,Minimalplus,2006.0
Clicks & Cuts 2,Various,Germany,Mille Plateaux,2001.0
Love & Gratitude EP 3,Valentino Kanzyani,Switzerland,Cadenza,2013.0
82988 / Digga Deepa,Jozif,UK,Fondation Records,2008.0
"<a class=""needs_changes"" href=""/master/757706-Mindtours-01/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",UK,Mindtours,2001.0
Greencard _ Re-Interpretations,Claus Bachor,Germany,Authentic Music,2010.0
2 Remixes,*,UK,Airtight,2008.0
Rechenzentrum,Rechenzentrum,Germany,Kitty-Yo,2000.0
DE9 | Transitions,Richie Hawtin,UK & Europe,NovaMute,2005.0
AZD,Actress,UK & Europe,Ninja Tune,2017.0
The Electric Funk Machine,Planetary Assault Systems,UK,Peacefrog Records,1997.0
Sex On The Beat EP,*,Germany,Level Non Zero,2013.0
Bora,Rone,France,Infiné,2008.0
Balance Presents Alex Niggemann,Alex Niggemann,Australia,Balance Music (3),2016.0
You And Me E.P,Mark Broom,Belgium,Toys For Boys Records,2007.0
Elevation II,Vainqueur,Germany,Chain Reaction,1997.0
Ihre Persönliche Glücksmelodie - Remixes,Gabriel Ananda,Germany,Karmarouge,2006.0
BPC Camping Compilation 03,Ellen Allien,Germany,BPitch Control,2007.0
Native Sampler Three : Natural Instinct,Various,UK,Native,2001.0
Master Builder,Robert Hood,Germany,Tresor,1995.0
Wheels Of Steel Vol. 1,Cajmere,Germany,Formaldehyd,1997.0
Boots & Lipgloss / I Don't Care For Pictures,Sylvie Fleury,Switzerland,Mental Groove Records,1990.0
Metri,Ø,Finland,Sähkö Recordings,1994.0
One Lover Woman,*,Germany,Audiomatique Recordings,2006.0
Temporary Suspension,Planetary Assault Systems,Germany,Ostgut Ton,2009.0
Aerodynamik + La Forme Remixes,Kraftwerk,Europe,EMI,2007.0
Cosmos Remixes,Tadeo,Spain,Apnea,2008.0
La Nuit,Timid Boy,France,Time Has Changed Records,2009.0
Bakchich EP#1,Various,France,Basenotic Records,1996.0
Windowshopping,Thomas Melchior,Germany,Perlon,1999.0
Pony Slaystation,Pantytec,Germany,Perlon,2002.0
Remixes,Pantytec,Germany,Perlon,2002.0
Askaig / Mock Tease,Gary Beck,Sweden,Drumcode,2011.0
We Are Hot EP,42 Grad Guyz,Germany,9 Volt,2008.0
Bitch Shifter EP,D.Diggler,Germany,Gelbes Billett Musik,2007.0
Closing Time EP,*,US,Unfoundsound,2007.0
Rumba Kalumba,Stephan Barnem,Hong Kong,Flat Belly Recordings,2010.0
Futuristic Experiments #004,Various,Germany,Background,2002.0
Attention_Industries,Various,Germany,Heimelektro Ulm,2000.0
Time Axis Manipulation Pt. 2,Mokira,Sweden,Kontra-Musik,2011.0
The Grey Area Of Cunker,Salò Mentale (2),Netherlands,Grijs,1997.0
It's Good Time,Mark Salies,Ukraine,MK-60 Records,2012.0
Vs. Jock Costeau,Paris The Black Fu,US,Throw,1999.0
SONICULTURE 006,*,Portugal,SONICULTURE,2007.0
Stand Up,Thomas Schumacher,Germany,Electric Ballroom (2),2013.0
Cinq,Steve O'Sullivan,UK,Green/As It Is,1996.0
Remixed,Function,UK,Sandwell District,2009.0
Decade One - Remixes (BP Edition),Dapayk Solo,Germany,Mo's Ferry Prod.,2010.0
Top Shelf Dubs,Steve O'Sullivan,UK,Mosaic,2000.0
Rise,Steve Poindexter,Netherlands,Djax-Up-Beats,1999.0
Transphormed,Alter Ego,Germany,Klang Elektronik,2005.0
Contrast (The Remixes),Marc Romboy,Germany,Systematic (3),2009.0
Down EP,Heinrichs & Hirtenfellner,Germany,Dekadent Schallplatten,2009.0
Blueprint 7,Surgeon,UK,Blueprint,1997.0
Evolution EP,A. Paul,Portugal,Kaos Records,1997.0
Move EP,Landesvatter,US,Parotic Music,2005.0
Legacy / Lent,Vid (3),Germany,An|dromeda,2012.0
Horizontal Ground 01,19.454.18.5.25.5.18,UK,Horizontal Ground,2009.0
...Durch Und Durch...Part 3 Of 3,Felix Bernhardt,Germany,AFULAB,2011.0
Made In Cologne,DJ Meemo,Germany,Frisbee Tracks,1998.0
Warenkorb #2,Various,Germany,Ware,2000.0
Hunter & Gatherer,Ryan Davis,Germany,Bondage Music,2010.0
Mental Power ,DJ Hi-Shock,Germany,Nachtstrom Schallplatten,2011.0
Stop The Train,Haba (5),Ukraine,Guava (2),2013.0
Finally Novika Sings,Various,Poland,Beats Friendly Records,2006.0
Steve Stoll EP,Steve Stoll,US,Proper N.Y.C.,1995.0
Yeah,Size (5),Netherlands,100% Pure,2009.0
Decoder EP,The Carbon Boys,US,Proper N.Y.C.,1998.0
Relevee,Delia Gonzalez & Gavin Russom,UK,DFA,2006.0
Aquaplano Ltd 01,Nuel,Italy,Aquaplano,2010.0
Enemy Love Remix EP I,Louderbach,UK,Underl_ne,2006.0
Modular Techno Vol 1,Steevio,UK,Mindtours,2012.0
Maffia EP - Illuminaten Remixes,Pan-Pot,Germany,Einmaleins Musik,2007.0
Calcium EP,Microtrauma,Germany,Microtonal Records,2009.0
My Friend / Escaping The City,Lanny May,Germany,EXtraSmart Records,2008.0
Wonderland,Massi DL,Germany,Trapez,2007.0
Atom Eater EP,Metalogic,US,Addon,2007.0
Loops & Tools,Ars Larson,Germany,Tonsport,1999.0
Terminal 20,Stardust (3),Switzerland,Tronix Records,
A Lesson In Drums,Pele (5),Germany,Connaisseur Recordings,2008.0
Anger Me,Monoloc,Germany,Smallroom Music,2008.0
Kaleidoscope,Tala,UK,FHD Records,2008.0
Fabric 49,Magda,UK,Fabric (2),2009.0
"<a class=""needs_changes"" href=""/master/1100251-Indigo-Expanse/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",UK,3six Recordings,2016.0
Don't Wake Up,Eidolon,US,Modern Recording Company,2006.0
Tokyo Crazy Diamond,Hideyoshi,France,Entropy Records (2),2012.0
Jule Wäscht Sich Nie,Ronte Monte Mo,Germany,Monaberry,2010.0
Serenetti,Trentemøller,Denmark,Tic Tac Toe Records,2005.0
Alpha 000-011,CX Audio IE,Japan,Sublime Records (3),2000.0
Attribute One,Peter Van Hoesen,Belgium,Time To Express,2009.0
The Garage,Slagsmålsklubben,Sweden,Goldenbest Records,2012.0
Aftermath EP,Dilo,Germany,Einmaleins Musik,2009.0
The Unheard Voice From Outer Space EP,Milton Bradley,Germany,Prologue,2010.0
mV 11,Various,UK,Multi Vitamins,2007.0
Active Agent,Roland Bone,Germany,Harthouse Mannheim,2007.0
Mirror Of The Future,Boris Brejcha,Germany,Harthouse Mannheim,2008.0
Warenkorb #5,Various,Germany,Ware,2004.0
Flashing,Mauro Picotto,UK,Alchemy,2008.0
Delahoya - The Compilation 2011,Various,Romania,Skills Records,2011.0
Ángulos Ligeramente Ocultos,George Paar,Uruguay,Par Recordings,2012.0
Il Futuro È In Provincia,Sandiego,Germany,Classwork,2007.0
Mind Fuel EP,Kwass & LXK,Germany,X-Zel,2004.0
Indian Shuffle EP,Miskate,Germany,Einmaleins Musik,2006.0
Politic EP,Jason Emsley,Germany,Platzhirsch Schallplatten,2006.0
Mouth To Mouth,Audion,US,Spectral Sound,2006.0
Cracked Glass Vol. 1,Ian Cashman,UK,Acruacree,1997.0
Billy Says Go,Audion,US,Spectral Sound,2008.0
Czeslawa / Warszawa,Ben Klock,Germany,Ostgut Ton,2007.0
Jetliner,Hardcell,Sweden,Skunkworks,2002.0
Worm Of Mouth / Tick Tick Tick,Phil Kieran,UK,Soma Quality Recordings,2006.0
Pole,Ployfex,Switzerland,Speaker Attack,1999.0
High Tension EP,Alessandro Ciuti,Germany,Taldor Records,2010.0
Slow Hand,Baby Ford,UK,PAL SL,1996.0
Wege Zur EP,Go Hiyama,UK,Coda Records,2002.0
Da Minimal Funk,Various,Germany,Raw Elements,1997.0
Northern Rae,Seltene Erden,Japan,Mule Electronic,2011.0
Untitled,Algorithm,Canada,Revolver Recordings,1999.0
Untitled,Agaric (2),Sweden,We Are,2005.0
Unknown,The Unknown (19),UK,Syncopate,1998.0
Backcountry Camping,Maik Loewen,Germany,Karmarouge,2008.0
"<a class=""needs_changes"" href=""/master/286116-Connection/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,BPitch Control,2009.0
Charoplet EP Part 2,Sasha Wins & Igor Shep,France,Signaletik Records,2010.0
The Yellow Screen,Davy Dee,Belgium,MB Elektronics,2010.0
Body Fall,Click Box,Canada,M_nus,2012.0
Anti-Techno EP,Ingemar Stalholm,Canada,Kalimari Musique,2012.0
Groundhog Day,Christian Martin (3),US,Dirtybird,2008.0
Chloe´s Brain,Jeff Samuel,Germany,Trapez,2008.0
Elektrischer Nahverkehr,Rotor (4),Germany,V-Records Berlin,1995.0
Insects On Ice,Mike Sulu,Switzerland,Bacteria Records,2008.0
The Berlin Files Vol 1,Boris Blenn,Germany,Electric Universe Records,2009.0
Bullet Breaker,Box Blaze,UK,Planet Rhythm Records,1998.0
Dragons Turning (Rmx) / Horny Funka,Reck,UK,Eukatech,2000.0
Fackeln Im Sturm,Dom,Germany,Harvest,1998.0
"<a class=""needs_changes"" href=""/master/358639-EP2/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Waschraum Productions,2011.0
Untitled,*,US,Docile Recordings,2005.0
Mind Music,Good Groove,Germany,Multicolor Recordings,2006.0
Organ Message,Daze Maxim,Germany,Hello? Repeat,2009.0
"<a href=""/master/134501-Before-One-EP/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Ostgut Ton,2009.0
Antistat,*,Germany,d.Drum,2001.0
Cocoon Compilation E,Various,Germany,Cocoon Recordings,2005.0
Manufactured Animals E.P.,Raw Hedroom,Germany,Snork Enterprises,2011.0
Epsilon Eridani EP,Oliver Lieb,UK,Bedrock Records,2011.0
Untitled,Various,Slovenia,1605 Music Therapy,2009.0
Indikator,DJ Bo (2),Russia,Not On Label (DJ Bo Self-released),2004.0
Let's Get High For Christmas,DJ Sid,Switzerland,Villa Magica Records,2003.0
Mixed Emotions (Montreal Mix Sessions Vol. 5),Tiga,Canada,Turbo,2000.0
Harthouse Collection,Various,Germany,Harthouse Mannheim,2009.0
Alquimia,Seph (2),Canada,Dumb-Unit,2010.0
Subway EP,*,US,Statra Recordings,2004.0
Un As Bajo La Manga,Alexi Delano & Xpansul,Germany,Trapez,2007.0
TRX,Audio Werner,Germany,Trapez Ltd,2005.0
Obskur EP,Kraptek,Russia,Deep-X Recordings,2012.0
Ozone EP,Ferum (2),Russia,Deep-X Recordings,2011.0
Nothing EP,Raudive,UK,Wires,2011.0
I'm Only Pukin',Puke Slaughter,Germany,100Records,1996.0
Null EP,Todd Sines,Germany,Background,1999.0
The Kind Of Blue EP,Vladislav Delay,Finland,Huume,1997.0
Katharsis E.P.,Spider & Bird,Germany,F-Ton,2006.0
Retrack,Allanfort,Germany,Lebensfreude Records,2004.0
Submariniert,Spirallianz,Germany,Spirit Zone Recordings,1999.0
Manjala,Two_EM,Germany,Dekadent Schallplatten,2008.0
In Rio,Cygnet Committee,Denmark,Dancecop,1998.0
Wandering / Diversion,Exercise One,Germany,Lan Muzic,2008.0
FM's Return,Sven Dedek,Germany,Swirl (3),2008.0
Labyrinth,John Tejada,US,Palette Recordings,2007.0
Work It,Workidz,Belgium,Montini Belgium,2007.0
20000,Kirill Mamin,Germany,DMOM,2012.0
Triton,Marc Romboy vs. Stephan Bodzin,Germany,Systematic (3),2010.0
Make / Shift EP,PussySelektor,Germany,Lebensfreude Records,2010.0
25 Bitches Vol. II,Troy Pierce,Canada,M_nus,2006.0
A Walk Nearby,Marc Neyen,Germany,Eminor Records (2),2008.0
Afterblaster EP,Miskate,UK,Microcosm Music,2007.0
Fallen Angel EP,The Badgers (2),Brazil,11Hz Recordings,2010.0
The Giraffe,Soul Clap,US,AirDrop Records,2008.0
Removal EP,Relative Q,US,Bleepsequence,2012.0
The Ride,Tim Wright,UK,NovaMute,2004.0
Tunnel Bus,Kero,US,Detroit Threads Recordings,2010.0
Super Constellation,Marcin Czubala,Germany,Mobilee,2007.0
Bicom / Remoteable / Cut,Monolake,Germany,Monolake / Imbalance Computer Music,2001.0
Loop De Mer,Anja Schneider,Germany,Mobilee,2007.0
I Was A Dervish,Occam,Hungary,Pimodan,2011.0
Naked Cowboys,Skinnerbox (2),Denmark,Jato Unit,2008.0
Skreel-Ah / Nemec,Sterac,US,M-Plant,1999.0
"Dear Painter, Paint Me",Heartthrob,Canada,M_nus,2008.0
River Camping,False,Canada,M_nus,2005.0
Shape-Space,Process,UK,FatCat Records,2000.0
En Légère Suspension Remixes Vol. 2,Pheek,Canada,Archipel,2008.0
Nachtstring,Alejandro Vivanco,Germany,International Freakshow,2009.0
Kühle Fliege Remixes,Matt Star,Germany,International Freakshow,2008.0
Throw / Second Thought,Aural Emote,US,Infrastructure New York,2001.0
Dislodged EP,Paulo Olarte,Germany,Diynamic Music,2008.0
Why So Serious?,Francesco Grant,Netherlands,Plastic Rules Music,2009.0
Cut EP,Submania,Germany,Background,2000.0
Bob's Your Uncle EP,Jichael Mackson,Germany,Stock5,2011.0
My Black Sheep Interpretations 1/2,Len Faki,Germany,Figure,2007.0
Møenstertape EP,Møenster,Germany,Microtonal Records,2008.0
Ariel / Mab,Marc Romboy vs. Stephan Bodzin,Germany,Herzblut Recordings,2007.0
Köppchen,Dimbiman,Germany,Perlon,1998.0
Somebody Went To Detroit & All I Got Was The Itchy Hawtins,Centrific,US,Drop Bass Network,2006.0
Für Elodie,Fumiya Tanaka,Germany,Sundance,2011.0
Your Fantasy EP,Dan Curtin,UK,Pnuma,2006.0
Narrowing EP,Patrik Skoog,UK,Cloned Vinyl,2001.0
Vehicle,Myungho Choi,,Transit Records,1999.0
Pusteblume,Jaques Raupé,Germany,Toka Beatz,2010.0
Scenario,*,Germany,Ostgut Ton,2007.0
Indifference EP,Donor / Truss,UK,Perc Trax,2010.0
Curiosities Of The Sky,Ukkonen,UK,Rednetic Recordings,2010.0
Freaky Suckers,Luna City Express,Germany,freakWaves,2007.0
Minimal Disco 1,Tim Taylor,Germany,Minimal Disco,2006.0
"More Wet, Less Dry EP",Konstress,Italy,Splitsound Records,2008.0
Awt EP,Jeff Samuel,US,Spectral Sound,2004.0
Bla Bla Bla,Italoboyz,Germany,Mothership,2009.0
Taxi,Brtschitsch & Galluzzi,Germany,Taksi,1996.0
Mi Casa,Marcus Meinhardt,Germany,Micro.fon,2006.0
Connected EP,Ndru,Switzerland,Perspectiv,2006.0
Tracksessions,Various,France,Al Dente Records,2009.0
Weiter EP,Shu Okuyama,Germany,minimood,2008.0
Offered To The Idol,Desexia,Canada,Neferiu Records,2001.0
My Teenager Gang,Minilogue,Japan,Mule Electronic,2009.0
Prague,Mentalic,Germany,Etui Galaxi,2007.0
Moveable Parts Chapter 2,Robert Hood,US,M-Plant,1997.0
Team America,Butane,US,alphahouse,2012.0
The Owls Are Not What They Seem EP,Cabanne,Germany,31337 Records,2011.0
Lopez,Douglas Greed,Germany,Combination Records,2005.0
Freaks R Us,Johannes Heil,Germany,Klang Elektronik,2006.0
Antenna,Franco Cinelli,Spain,Esperanza,2007.0
Between,Todd Bodine,Germany,Highgrade Records,2011.0
Stratum,Mutron,Japan,Codona,2011.0
Watergate 03,Konrad Black,Germany,Watergate Records,2009.0
Odyssey / Memories,Odyssey (3),Germany,My Best Friend,2004.0
Radio EP,Plastic FM,Germany,Ostwind Records,2010.0
Shortcake Strategy,Falko Brocksieper,Germany,Treibstoff,2012.0
Inua Nova EP,Graziano Avitabile,Germany,Karmarouge,2001.0
Knarz,Knarz,Germany,Acid Fuckers Unite (A.F.U.),1998.0
Silly Girl EP,Eric Johnston (3),Canada,Archipel,2010.0
Big Benization / Bersten,Remute,Germany,Relax 2000 Records,2009.0
Banality Of Evil,Lucy (12),Germany,Stroboscopic Artefacts,2012.0
"<a class=""needs_changes"" href=""/master/434028-Carnal/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Killekill,2012.0
Plastic EP,Marshall,Greece,Material Series,2008.0
Untitled,Static Drum,France,Logistic Records,2000.0
Holysheep,Cheaper Shepherd,France,forecast label,2015.0
RA.318,Rrose,UK,Resident Advisor,2012.0
Big K,Alpha Rhythm,UK,Lost Souls Recordings,2009.0
Gern,Ddkern,Austria,Mego,2002.0
Katapult Various Artists Vol.3 (Sampler 2),Various,France,Karat Records,2007.0
Sleepless,Biathalon,US,Wil-Ru Records,2014.0
Clamber 2010,Paul Brtschitsch,Germany,Rootknox,2010.0
Stockholm Marathon / The Journey,Cirez D,Sweden,Mouseville,2008.0
Sequential Circus,Actual Jakshun,Canada,M_nus,2005.0
Strike The Right Note - The Best Of Monomental 2008,DJ Pace (2),Germany,mONOmENTAL Digital,2009.0
Sycamore Feeling,Trentemøller,Germany,In My Room,2010.0
Gindofask,Octogen,UK,Soma Quality Recordings,2008.0
Conform,Kamika,Germany,Der Hut Records,2011.0
Blau,Studio 1,Germany,Studio 1,1996.0
Gold,Studio 1,Germany,Studio 1,1997.0
Lila,Studio 1,Germany,Studio 1,1996.0
Rot,Studio 1,Germany,Studio 1,1996.0
Berg 02,Berg (15),Germany,Berg (2),2014.0
What's Next?!,Alter Ego,Germany,Klang Elektronik,2008.0
She Said EP,Kate Simko,US,Spectral Sound,2008.0
Losing Control (Remixes),DBX,UK,Peacefrog Records,1994.0
Dusk EP,Trademark (13),UK,Intelligent Audio,2009.0
To-To,Riou,Belgium,KK Records,1995.0
Biske EP,Riou,Belgium,KK Records,1996.0
Room For Improvement,Riou,Belgium,KK Records,1995.0
Redsoul,*,Germany,Areal Records,2008.0
Network One,Sutekh,US,Edit,2002.0
Modes Of Communication 2 -  Electronica,Various,UK,Eukatech,2002.0
Lowdown Brittle EP,Someone Else (2),US,Foundsound,2007.0
Ph-Neutre,Ph-Neutre,Germany,Maschine Ltd.,2007.0
Dark Blaster,Baby Chris,Germany,Energie In Bestform Recordings,2007.0
Habana EP,Saccobros,Argentina,Miniatura Records,2008.0
Heike,Ricardo Villalobos,Germany,Lo-Fi Stereo,1998.0
Dance With Me,Mindz Kontrol Ultra,US,Ovum Recordings,2009.0
Dark Addictions,Mirweis Sangin,Switzerland,Phictiv Records,2003.0
I Need Medicine,Fairmont,UK,Border Community,2008.0
Auf Und Ab... Remixed,Chris Liebing,Germany,CLR (2),2010.0
Phases,Tommy Gillard,UK,Continual,2002.0
Napoli Underground Pt. 1,Danilo Vigorito,Germany,Underground (3),2008.0
Old School Former Pupil,Paul Mac,UK,Fragmented Records,1998.0
Undercover,Marc Houle,Germany,Items & Things,2012.0
No Hats Required EP,The Evader,UK,Cosmic Records,1994.0
The Paranormal,Voodeux,US,Mothership,2009.0
White Light,Jerome Sydenham,US,Ibadan,2010.0
The Very Best Of Stil Vor Talent Digital 2,Various,Germany,Stil Vor Talent,2010.0
Delle Palme,Carola Pisaturo,US,Adjunct,2008.0
Poker Flat Volume 6 - Dead Man's Hand,Various,Germany,Poker Flat Recordings,2008.0
Runnings,Bandulu,UK,Foundation Sound Works,1997.0
Session Club EP,Nico (40),Germany,Slash Label,2009.0
Wake Up Call,Click Box,Canada,M_nus,2009.0
Golpe Fantasma EP,Israel Vich,Argentina,Miniatura Records,2009.0
Turbo,Deepgroove & Jamie Anderson,Germany,Cocoon Recordings,2009.0
Monotonous,E=mc²,Netherlands,E=MC2,1997.0
Hifi Gangster EP,Synectics,Switzerland,Axodya,1997.0
Limbo E.P.,Ludovic Vendi,Germany,Paradigma Musik,2008.0
Indisguise,Tleilaxu,US,Unfoundsound,2005.0
Minimale Scheisse,psyCodEd,Germany,Zimmer-Records,2005.0
"Blip, Blurp, Bleep EP",Daniel Bell,France,Logistic Records,2003.0
Modulator E.P.,Noise Control,Germany,Neo Ego,1992.0
The Leap,Martin H,Germany,Klap Klap,2008.0
Straw Hats,Alan Fitzpatrick,UK,8 Sided Dice Recordings,2010.0
Graphite,G-Man,Italy,Defrag Sound Processing,2005.0
Crsh EP,Extrawelt,Japan,Gemini Recordings,2007.0
Dealer's Choice,German Dope Connection,Canada,Cycle (3),2000.0
Theory Of Noise,Alex Bau,Germany,Credo Black Series,2011.0
Clone 03,Subhead,UK,Cloned Vinyl,1998.0
Amplitudal Vibration EP,Intermolecular Forces,UK,Molecular Recordings,1997.0
This Shutdown,Makaton,UK,Rodz-Konez,2000.0
Strange Ways,Polder,Netherlands,Intacto Records,2007.0
Dream Machine EP,Jacek Sienkiewicz,Germany,Cocoon Recordings,2004.0
Exploder EP,Jake Fairley,Germany,Sender Records,2001.0
LeckerKuchen EP,Koljah,UK,Sushitech Records,2006.0
Childish Dream EP,Gabriel Ananda,Germany,Karmarouge,2005.0
Black Market EP,Ivel Tax,Portugal,Xquisite,2012.0
Substratum,Mike Parker,Germany,Orange Groove,2006.0
Dreams Of Home,Various,US,SIXONESIX,2008.0
The White Room / Pecan,Dave Ellesmere,Netherlands,Remote Area,2006.0
I Hate Dancing,Chloé,France,Human,2004.0
Zombieffect,Hidenobu Ito,Switzerland,Numbolic Records,2011.0
Hurry Up Pony!,Gathaspar,Switzerland,Numbolic Records,2011.0
Pyrolator,*,Germany,Paso Music,2008.0
Black Magic,Tom Dazing,Germany,Trapez,2009.0
Dawning / Dead Man Watches The Clock,*,Germany,Ostgut Ton,2006.0
Quicksand / Getaway,Marcel Dettmann,Germany,Ostgut Ton,2006.0
Schneeweiss,Various,Germany,Meerestief Digital,2006.0
